Time,Resistance
85914,44477.8
86025,44498.28
86136,44503.14
86247,44483.66
86358,44430.04
86469,44420.06
86580,44424.44
86691,44427.12
86802,44429.06
86913,44430.54
87024,44431.5
87135,44432.48
87246,44433.94
87357,44434.44
87468,44446.62
87579,44464.64
87690,44493.4
87801,44506.8
87912,44499
88023,44457.1
88134,44420.54
88245,44424.92
88356,44427.36
88467,44429.56
88578,44431.26
88689,44432.48
88800,44433.7
88911,44434.68
89022,44435.9
89133,44444.9
89244,44460.74
89355,44487.06
89466,44507.04
89577,44507.54
89688,44477.08
89799,44428.34
89910,44426.88
90021,44430.78
90132,44433.22
90243,44435.9
90354,44437.12
90465,44438.82
90576,44440.52
90687,44441.26
90798,44445.4
90909,44458.32
91020,44479.76
91131,44505.34
91242,44514.36
91353,44499.98
91464,44450.26
91575,44428.34
91686,44433.22
91797,44435.4
91908,44437.36
92019,44439.3
92130,44441.74
92241,44442.72
92352,44443.94
92463,44445.16
92574,44455.38
92685,44472.94
92796,44500.46
92907,44516.06
93018,44515.32
93129,44482.92
93240,44435.9
93351,44437.12
93462,44440.28
93573,44443.7
93684,44445.4
93795,44447.58
93906,44449.06
94017,44449.54
94128,44450.76
94239,44455.88
94350,44469.76
94461,44494.86
94572,44517.76
94683,44526.06
94794,44510.7
94905,44458.56
95016,44441.98
95127,44447.34
95238,44449.54
95349,44451.98
95460,44455.14
95571,44456.36
95682,44458.32
95793,44459.52
95904,44461.48
96015,44473.9
96126,44492.92
96237,44519.72
96348,44534.82
96459,44531.16
96570,44492.66
96681,44451.24
96792,44455.88
96903,44458.8
97014,44461.72
97125,44463.68
97236,44465.86
97347,44466.6
97458,44468.3
97569,44469.76
97680,44476.58
97791,44492.66
97902,44518
98013,44539.2
98124,44542.14
98235,44517.04
98346,44464.88
98457,44461.24
98568,44465.14
98679,44467.56
98790,44470
98901,44472.2
99012,44474.14
99123,44475.86
99234,44476.82
99345,44481.46
99456,44495.84
99567,44519.96
99678,44544.08
99789,44553.1
99900,44539.46
100011,44489.98
100122,44468.78
100233,44474.14
100344,44476.82
100455,44479.26
100566,44481.22
100677,44483.4
100788,44485.36
100899,44486.82
101010,44488.28
101121,44498.52
101232,44515.82
101343,44541.4
101454,44559.44
101565,44562.12
101676,44534.82
101787,44484.14
101898,44480.72
102009,44484.38
102120,44486.34
102231,44488.52
102342,44490.24
102453,44492.92
102564,44494.12
102675,44495.1
102786,44499.24
102897,44511.44
103008,44534.58
103119,44560.66
103230,44570.64
103341,44560.9
103452,44513.14
103563,44485.36
103674,44489.74
103785,44492.66
103896,44494.62
104007,44495.84
104118,44497.78
104229,44498.76
104340,44500.96
104451,44501.44
104562,44510.46
104673,44527.26
104784,44553.34
104895,44572.84
105006,44574.78
105117,44546.52
105228,44496.08
105339,44495.84
105450,44499.74
105561,44503.14
105672,44505.58
105783,44508.26
105894,44510.46
106005,44512.4
106116,44514.36
106227,44519.72
106338,44534.1
106449,44560.16
106560,44585.5
106671,44591.36
106782,44570.16
106893,44517.52
107004,44509.96
107115,44514.84
107226,44517.52
107337,44520.2
107448,44522.4
107559,44524.1
107670,44526.06
107781,44527.26
107892,44528.98
108003,44541.16
108114,44560.4
108225,44586.24
108336,44601.1
108447,44596.48
108558,44557.24
108669,44516.8
108780,44521.42
108891,44525.08
109002,44527.52
109113,44530.2
109224,44531.42
109335,44533.12
109446,44534.34
109557,44535.8
109668,44541.4
109779,44556.02
109890,44580.38
110001,44604.02
110112,44609.14
110223,44586.96
110334,44534.34
110445,44525.8
110556,44530.44
110667,44533.36
110778,44535.8
110889,44537.5
111000,44538.48
111111,44540.92
111222,44541.4
111333,44543.1
111444,44554.8
111555,44574.3
111666,44599.88
111777,44613.52
111888,44609.38
111999,44573.56
112110,44530.68
112221,44535.8
112332,44539.7
112443,44542.38
112554,44544.56
112665,44546.76
112776,44548.46
112887,44550.42
112998,44552.36
113109,44557.98
113220,44572.84
113331,44598.42
113442,44621.08
113553,44626.68
113664,44611.58
113775,44559.68
113886,44544.32
113997,44548.46
114108,44551.64
114219,44553.34
114330,44555.54
114441,44557
114552,44559.2
114663,44559.92
114774,44560.9
114885,44574.06
114996,44591.6
115107,44617.18
115218,44633.02
115329,44631.08
115440,44597.2
115551,44552.12
115662,44556.76
115773,44560.66
115884,44562.84
115995,44564.8
116106,44566.74
116217,44567.96
116328,44569.42
116439,44569.92
116550,44574.78
116661,44589.9
116772,44614.74
116883,44635.7
116994,44640.34
117105,44621.82
117216,44568.2
117327,44560.16
117438,44564.06
117549,44567.24
117660,44569.18
117771,44571.12
117882,44572.84
117993,44573.82
118104,44574.78
118215,44577.96
118326,44590.86
118437,44611.58
118548,44636.44
118659,44646.42
118770,44638.88
118881,44593.54
118992,44562.6
119103,44568.7
